k,epsAcc,z,zAcc,sAcc,modelstat,solvestat
1,   122003.638907,      3443653.206802,       122003.638907,            0.000000,7,4

2,   135187.061442,      2347426.621187,       135187.061442,            0.000000,1,1

3,   148370.483977,      2315299.723172,       148370.483977,            0.000000,1,1

4,   161553.906512,      2296078.914425,       161553.906512,            0.000000,1,1

5,   174737.329047,      2282138.478434,       174737.329047,            0.000000,1,1

6,   187920.751582,      2276032.831419,       187920.751581,            0.000000,1,1

7,   201104.174116,      2272522.342455,       201104.174116,            0.000000,1,1

8,   214287.596651,      2271093.085683,       214287.596651,            0.000001,1,1

9,   227471.019186,      2270554.600908,       227471.019185,            0.000001,1,1

10,   240654.441721,      2270443.703000,       240654.440124,            0.001598,1,1

