k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       53.438653,      2331800.601298,           53.438653,            0.000000,1,1

2,       54.617940,      2315262.984795,           54.617940,            0.000000,1,1

3,       55.797226,      2306094.367637,           55.797226,            0.000000,1,1

4,       56.976513,      2300546.925362,           56.976513,            0.000000,1,1

5,       58.155799,      2295958.107567,           58.155799,            0.000000,1,1

6,       59.335085,      2292067.664074,           59.335085,            0.000000,1,1

7,       60.514372,      2288705.927597,           60.514372,            0.000000,1,1

8,       61.693658,      2286048.887027,           61.693658,            0.000000,1,1

9,       62.872945,      2284059.770746,           62.872945,            0.000000,1,1

10,       64.052231,      2283198.066370,           64.052231,            0.000000,1,1

