k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       54.734130,      2324174.609245,           54.734130,            0.000000,1,1

2,       55.943056,      2310263.327524,           55.943056,            0.000000,1,1

3,       57.151982,      2302381.064442,           57.151982,            0.000000,1,1

4,       58.360908,      2297001.984149,           58.360908,            0.000000,1,1

5,       59.569834,      2292334.134181,           59.569834,            0.000000,1,1

6,       60.778760,      2288237.981539,           60.778760,            0.000000,1,1

7,       61.987686,      2284809.771143,           61.987686,            0.000000,1,1

8,       63.196612,      2282064.111477,           63.196612,            0.000000,1,1

9,       64.405538,      2280293.233824,           64.405538,            0.000000,1,1

10,       65.614464,      2279584.142917,           65.614463,            0.000001,1,1

