k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       56.824197,      2332598.930659,           56.824197,            0.000000,1,1

2,       57.961834,      2315817.006781,           57.961834,            0.000000,1,1

3,       59.099471,      2306291.862316,           59.099471,            0.000000,1,1

4,       60.237108,      2300834.260045,           60.237108,            0.000000,1,1

5,       61.374745,      2296339.727526,           61.374745,            0.000000,1,1

6,       62.512382,      2292501.253701,           62.512382,            0.000000,1,1

7,       63.650019,      2289133.507595,           63.650019,            0.000000,1,1

8,       64.787655,      2286314.567140,           64.787655,            0.000000,1,1

9,       65.925292,      2284113.845495,           65.925292,            0.000000,1,1

10,       67.062929,      2283198.066370,           67.062929,            0.000000,1,1

