k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       40.978588,      2377364.287254,           40.978588,            0.000000,1,1

2,       42.130433,      2364743.820786,           42.130433,            0.000000,1,1

3,       43.282278,      2357219.764461,           43.282278,            0.000000,1,1

4,       44.434123,      2351924.040333,           44.434123,            0.000000,1,1

5,       45.585969,      2347546.370636,           45.585969,            0.000000,1,1

6,       46.737814,      2343780.501945,           46.737814,            0.000000,1,1

7,       47.889659,      2340519.019308,           47.889659,            0.000000,1,1

8,       49.041504,      2337991.348131,           49.041504,            0.000000,1,1

9,       50.193349,      2336233.359489,           50.193349,            0.000000,1,1

10,       51.345195,      2335522.418822,           51.345195,            0.000000,1,1

