k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       38.758691,      2369537.028635,           38.758691,            0.000000,1,1

2,       39.346289,      2361282.357373,           39.346289,            0.000000,1,1

3,       39.933887,      2355061.491732,           39.933887,            0.000000,1,1

4,       40.521485,      2350023.909799,           40.521485,            0.000000,1,1

5,       41.109083,      2346689.359873,           41.109083,            0.000000,1,1

6,       41.696681,      2344068.897683,           41.696681,            0.000000,1,1

7,       42.284279,      2341885.475209,           42.284279,            0.000000,1,1

8,       42.871877,      2339958.425173,           42.871877,            0.000000,1,1

9,       43.459475,      2338237.975745,           43.459475,            0.000000,1,1

10,       44.047073,      2336926.752916,           44.047073,            0.000000,1,1

