k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       42.862192,      2375588.423236,           42.862192,            0.000000,1,1

2,       43.800066,      2363885.974120,           43.800066,            0.000000,1,1

3,       44.737940,      2355383.531643,           44.737940,            0.000000,1,1

4,       45.675814,      2350773.500808,           45.675814,            0.000000,1,1

5,       46.613688,      2347384.621523,           46.613688,            0.000000,1,1

6,       47.551562,      2344410.676143,           47.551562,            0.000000,1,1

7,       48.489436,      2341796.535858,           48.489436,            0.000000,1,1

8,       49.427310,      2339595.878749,           49.427310,            0.000000,1,1

9,       50.365184,      2337809.702001,           50.365184,            0.000000,1,1

10,       51.303059,      2337057.161124,           51.303059,            0.000000,1,1

