k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       67.982403,      2489163.866826,           67.982403,            0.000000,1,1

2,       70.980364,      2406971.076819,           70.980364,            0.000000,1,1

3,       73.978325,      2371478.185860,           73.978325,            0.000000,1,1

4,       76.976286,      2355409.229718,           76.976286,            0.000000,1,1

5,       79.974247,      2345406.253388,           79.974247,            0.000000,1,1

6,       82.972208,      2339637.566742,           82.972208,            0.000000,1,1

7,       85.970169,      2337418.909695,           85.970169,            0.000000,1,1

8,       88.968130,      2336548.307379,           88.968130,            0.000000,1,1

9,       91.966091,      2335902.674050,           91.966091,            0.000000,1,1

10,       94.964052,      2335522.418825,           94.964052,            0.000000,1,1

