k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       32.931802,      2511820.149368,           32.931802,            0.000000,1,1

2,       34.977734,      2423937.206091,           34.977734,            0.000000,1,1

3,       37.023667,      2396247.023888,           37.023667,            0.000000,1,1

4,       39.069599,      2379092.494574,           39.069599,            0.000000,1,1

5,       41.115532,      2366746.000811,           41.115532,            0.000000,1,1

6,       43.161464,      2357000.081374,           43.161464,            0.000000,1,1

7,       45.207397,      2348840.205651,           45.207397,            0.000000,1,1

8,       47.253330,      2342231.266095,           47.253330,            0.000000,1,1

9,       49.299262,      2337504.876081,           49.299262,            0.000000,1,1

10,       51.345195,      2335522.418822,           51.345195,            0.000000,1,1

