k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       13.125014,      2480051.423193,           13.125014,            0.000000,1,1

2,       14.011634,      2406093.066314,           14.011634,            0.000000,1,1

3,       14.898255,      2378118.544526,           14.898255,            0.000000,1,1

4,       15.784875,      2362574.494131,           15.784875,            0.000000,1,1

5,       16.671495,      2353927.333961,           16.671495,            0.000000,1,1

6,       17.558116,      2347351.816739,           17.558116,            0.000000,1,1

7,       18.444736,      2342604.680705,           18.444736,            0.000000,1,1

8,       19.331357,      2339830.038680,           19.331357,            0.000000,1,1

9,       20.217977,      2338589.181681,           20.217977,            0.000000,1,1

10,       21.104598,      2338279.589010,           21.104597,            0.000000,1,1

