k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       15.285084,      2532600.073162,           15.285084,            0.000000,1,1

2,       16.228033,      2423292.558667,           16.228033,            0.000000,1,1

3,       17.170982,      2383694.709651,           17.170982,            0.000000,1,1

4,       18.113932,      2365012.511662,           18.113932,            0.000000,1,1

5,       19.056881,      2354644.495384,           19.056881,            0.000000,1,1

6,       19.999830,      2348085.111118,           19.999830,            0.000000,1,1

7,       20.942780,      2343326.868393,           20.942780,            0.000000,1,1

8,       21.885729,      2340231.843473,           21.885729,            0.000000,1,1

9,       22.828679,      2338681.591595,           22.828679,            0.000000,1,1

10,       23.771628,      2338279.569666,           23.771628,            0.000000,1,1

