k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       15.420221,      2533168.955074,           15.420221,            0.000000,1,1

2,       16.373357,      2422970.669080,           16.373357,            0.000000,1,1

3,       17.326493,      2384070.282683,           17.326493,            0.000000,1,1

4,       18.279630,      2365309.302321,           18.279630,            0.000000,1,1

5,       19.232766,      2355132.134020,           19.232766,            0.000000,1,1

6,       20.185902,      2348915.626147,           20.185902,            0.000000,1,1

7,       21.139039,      2344456.396091,           21.139039,            0.000000,1,1

8,       22.092175,      2341506.038425,           22.092175,            0.000000,1,1

9,       23.045312,      2340056.785408,           23.045312,            0.000000,1,1

10,       23.998448,      2339690.946423,           23.998448,            0.000000,1,1

