k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       14.298867,      2486644.686100,           14.298867,            0.000000,1,1

2,       15.363636,      2412394.740485,           15.363636,            0.000000,1,1

3,       16.428404,      2384589.621832,           16.428404,            0.000000,1,1

4,       17.493173,      2367909.931000,           17.493173,            0.000000,1,1

5,       18.557942,      2356924.753118,           18.557942,            0.000000,1,1

6,       19.622710,      2349129.954773,           19.622710,            0.000000,1,1

7,       20.687479,      2343247.726605,           20.687479,            0.000000,1,1

8,       21.752247,      2339160.465680,           21.752247,            0.000000,1,1

9,       22.817016,      2336932.739285,           22.817016,            0.000000,1,1

10,       23.881784,      2336238.749964,           23.881784,            0.000000,1,1

