k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       12.390886,      2514010.741887,           12.390886,            0.000000,1,1

2,       13.655413,      2426488.621512,           13.655413,            0.000000,1,1

3,       14.919940,      2395548.580728,           14.919940,            0.000000,1,1

4,       16.184467,      2375504.017847,           16.184467,            0.000000,1,1

5,       17.448994,      2362258.308587,           17.448994,            0.000000,1,1

6,       18.713521,      2353031.017220,           18.713521,            0.000000,1,1

7,       19.978047,      2346278.263311,           19.978047,            0.000000,1,1

8,       21.242574,      2341521.313063,           21.242574,            0.000000,1,1

9,       22.507101,      2338978.770965,           22.507101,            0.000000,1,1

10,       23.771628,      2338279.573944,           23.771628,            0.000000,1,1

